setup,punchline
"A cabbage and celery walk into a bar.","The cabbage gets served first because he was a head."
"A crazy wife says to her husband that moose are falling from the sky.","The husband says, it’s reindeer."
"A man sued an airline company after it lost his luggage.","Sadly, he lost his case."
"Apple is designing a new automatic car.","But they're having trouble installing Windows!"
"Becoming a vegetarian is one big missed steak.",
"Can February March?","No, but April May."
"Coffee has a rough time in our house.","It gets mugged every single morning!"
"Did you hear about that cheese factory that exploded in France?","There was nothing left but de Brie!"
"Did you hear about the actor who broke his leg onstage?","He's still in the cast."
"Did you hear about the guy who got hit in the head with a can of soda?","He was lucky it was a soft drink!"
"Did you hear about the kidnapping at school?","It’s fine, he woke up."
"Did you hear about the restaurant on the moon?","I heard the food was good but it had no atmosphere."
"Do you know what German sausage jokes are?,"The wurst."
"Dogs can’t operate MRI machines.","But catscan."
"England doesn't have a kidney bank.","It does have a Liverpool."
"How can you tell it’s a dogwood tree?","By the bark."
"How did the picture end up in jail?","It was framed!"
"How do celebrities stay cool?","They have many fans."
"How do you catch a squirrel?","Climb a tree and act like a nut."
"How do you get a country girl’s attention?","A tractor."
"How do you make a good egg-roll?","You push it down a hill!"
"How do you make a tissue dance?","You put a little boogie in it."
"How do you make an octopus laugh?","With ten-tickles."
"How do you make holy water?","You boil the hell out of it."
"How do you organize a fantastic space party?","You planet."
"How do you organize a space party?","You planet."
"How do you row a canoe filled with puppies?","Bring out the doggy paddle."
"How does Moses make coffee?","Hebrews it."
"How does a penguin build its house?","Igloos it together."
"How does a vampire start a letter?","Tomb it may concern."
"I asked a Frenchman if he played video games.","He said Wii."
"I bought a boat...","it was for sail."
"I can’t believe I got fired from the calendar factory.","All I did was take a day off!"
"I don’t trust stairs...","they’re always up to something."
"I had a crazy dream last night! I was swimming in an ocean of orange soda.","Turns out it was just a Fanta sea."
"I had a date last night and it was perfect.","Tomorrow, I’ll have a fig."
"I hate how funerals are always at 9 a.m.","I’m not really a mourning person."
"I have an inferiority complex,","but it's not a very good one."
"I just found out that I'm color blind.","The news came completely out of the green!"
"I knew a guy who collected candy canes, they were all in mint condition."
"I lost my job at the bank on my first day.","A woman asked me to check her balance, so I pushed her over."
